patience,units,learning_rate,dropout,embedding_dim,optimizer,activation_function,regularizer,bleu_score,epochs,final_train_loss,final_val_loss
3,128,0.001,0.3,128,adam,relu,,0.06308595705007877,26,0.9855696558952332,1.6945208311080933
3,128,0.001,0.3,128,adam,relu,l2,0.06584542022603412,28,0.8915745615959167,1.7165052890777588
3,128,0.001,0.3,128,adam,tanh,,0.06455790742725558,30,0.8436231017112732,1.7177869081497192
3,128,0.001,0.3,128,adam,tanh,l2,0.2077033777483141,51,0.20086905360221863,1.2684041261672974
3,128,0.001,0.3,256,adam,relu,,0.20113038484829593,31,0.31763049960136414,1.2217042446136475
3,128,0.001,0.3,256,adam,relu,l2,0.2044157681516926,38,0.2317146509885788,1.251459002494812
3,128,0.001,0.3,256,adam,tanh,,0.2054132593109522,44,0.18966373801231384,1.258683204650879
3,128,0.001,0.3,256,adam,tanh,l2,0.17809538656654592,43,0.20870862901210785,1.3476684093475342
3,128,0.001,0.5,128,adam,relu,,0.1989233945621722,57,0.2693505585193634,1.2879940271377563
3,128,0.001,0.5,128,adam,relu,l2,0.19454043720403968,62,0.2313101887702942,1.324709177017212
3,128,0.001,0.5,128,adam,tanh,,0.1942657440152683,63,0.2612120509147644,1.3315057754516602
3,128,0.001,0.5,128,adam,tanh,l2,0.1908189997421133,73,0.20146676898002625,1.3538671731948853
3,128,0.001,0.5,256,adam,relu,,0.2159859483519218,48,0.21167533099651337,1.2182658910751343
3,128,0.001,0.5,256,adam,relu,l2,0.21484904099682214,42,0.252531498670578,1.2197922468185425
3,128,0.001,0.5,256,adam,tanh,,0.21451997002901857,45,0.2232862114906311,1.211016297340393
3,128,0.001,0.5,256,adam,tanh,l2,0.22380893315523703,41,0.25055038928985596,1.1722699403762817
3,128,0.001,0.7,128,adam,relu,,0.20953659025453453,67,0.3322160840034485,1.276049017906189
3,128,0.001,0.7,128,adam,relu,l2,0.18422798440610147,90,0.2929961085319519,1.4014708995819092
3,128,0.001,0.7,128,adam,tanh,,0.20377724415198048,74,0.3077262341976166,1.3094590902328491
3,128,0.001,0.7,128,adam,tanh,l2,0.17136357310745892,50,0.4870798587799072,1.318980097770691
3,128,0.001,0.7,256,adam,relu,,0.21681628787131912,45,0.32586923241615295,1.1909561157226562
3,128,0.001,0.7,256,adam,relu,l2,0.2228535696143837,51,0.28176361322402954,1.1882644891738892
3,128,0.001,0.7,256,adam,tanh,,0.2280039494312519,47,0.30286073684692383,1.1756142377853394
3,128,0.001,0.7,256,adam,tanh,l2,0.2261899450756151,48,0.29820606112480164,1.1762722730636597
3,128,0.0001,0.3,128,adam,relu,,0.04332021415441903,94,1.4205771684646606,1.830165982246399
3,128,0.0001,0.3,128,adam,relu,l2,0.04416096232568192,94,1.4125248193740845,1.8147765398025513
3,128,0.0001,0.3,128,adam,tanh,,0.04516971795842523,90,1.362815499305725,1.7920818328857422
3,128,0.0001,0.3,128,adam,tanh,l2,0.028223023724667482,72,1.6725835800170898,1.9614835977554321
3,128,0.0001,0.3,256,adam,relu,,0.04891694562639644,86,1.332147240638733,1.7641432285308838
3,128,0.0001,0.3,256,adam,relu,l2,0.05203575779799425,89,1.2680234909057617,1.7354507446289062
3,128,0.0001,0.3,256,adam,tanh,,0.03668892601800822,71,1.5163038969039917,1.8550808429718018
3,128,0.0001,0.3,256,adam,tanh,l2,0.015348444051792542,21,1.8745594024658203,2.055621862411499
3,128,0.0001,0.5,128,adam,relu,,0.04517303493410978,100,1.3959664106369019,1.8019331693649292
3,128,0.0001,0.5,128,adam,relu,l2,0.04445244607310161,100,1.4200187921524048,1.8163343667984009
3,128,0.0001,0.5,128,adam,tanh,,0.04573924427748743,100,1.3917526006698608,1.7931243181228638
3,128,0.0001,0.5,128,adam,tanh,l2,0.04648170253477001,100,1.355309247970581,1.8028984069824219
3,128,0.0001,0.5,256,adam,relu,,0.05113846290842096,100,1.3223543167114258,1.7470375299453735
3,128,0.0001,0.5,256,adam,relu,l2,0.04703981856536416,77,1.3601006269454956,1.751373529434204
3,128,0.0001,0.5,256,adam,tanh,,0.04807026711543348,100,1.2548339366912842,1.7289645671844482
3,128,0.0001,0.5,256,adam,tanh,l2,0.05109170023582449,97,1.2594363689422607,1.734100341796875
3,128,0.0001,0.7,128,adam,relu,,0.0439861638524214,100,1.4086588621139526,1.7993139028549194
3,128,0.0001,0.7,128,adam,relu,l2,0.043664731033359196,100,1.4457015991210938,1.8285188674926758
3,128,0.0001,0.7,128,adam,tanh,,0.030294710458051738,69,1.6181395053863525,1.9269616603851318
3,128,0.0001,0.7,128,adam,tanh,l2,0.04278603221010559,100,1.470959186553955,1.8476202487945557
3,128,0.0001,0.7,256,adam,relu,,0.04910227723912033,100,1.3314448595046997,1.751835823059082
3,128,0.0001,0.7,256,adam,relu,l2,0.04914434339421453,100,1.335024118423462,1.7695833444595337
3,128,0.0001,0.7,256,adam,tanh,,0.0469959546055634,99,1.3704661130905151,1.7869057655334473
3,128,0.0001,0.7,256,adam,tanh,l2,0.05020221012926674,100,1.3300820589065552,1.7487983703613281
3,128,0.01,0.3,128,adam,relu,,0.22198330404411518,11,0.25029975175857544,1.1829640865325928
3,128,0.01,0.3,128,adam,relu,l2,0.2117892952204391,12,0.2559547424316406,1.265356183052063
3,128,0.01,0.3,128,adam,tanh,,0.23431772522549027,12,0.2213355153799057,1.1814274787902832
3,128,0.01,0.3,128,adam,tanh,l2,0.21657395266202262,13,0.23082461953163147,1.2569984197616577
3,128,0.01,0.3,256,adam,relu,,0.21873993812336423,11,0.21303214132785797,1.2641040086746216
3,128,0.01,0.3,256,adam,relu,l2,0.22770910702224906,11,0.21871133148670197,1.212708830833435
3,128,0.01,0.3,256,adam,tanh,,0.21123931834077356,10,0.2316378504037857,1.216369867324829
3,128,0.01,0.3,256,adam,tanh,l2,0.22043678909337544,10,0.23577061295509338,1.1980795860290527
3,128,0.01,0.5,128,adam,relu,,0.21203562283610852,12,0.4093160927295685,1.2598429918289185
3,128,0.01,0.5,128,adam,relu,l2,0.21226488247229772,13,0.3926835358142853,1.2998063564300537
3,128,0.01,0.5,128,adam,tanh,,0.2102506714602337,14,0.3742232322692871,1.3051965236663818
3,128,0.01,0.5,128,adam,tanh,l2,0.21372928646597658,15,0.34413111209869385,1.2782468795776367
3,128,0.01,0.5,256,adam,relu,,0.21037842433367002,11,0.34861326217651367,1.2531702518463135
3,128,0.01,0.5,256,adam,relu,l2,0.2082737071885512,10,0.36742398142814636,1.2581393718719482
3,128,0.01,0.5,256,adam,tanh,,0.19643560806116817,10,0.37543898820877075,1.291197419166565
3,128,0.01,0.5,256,adam,tanh,l2,0.21012156207621052,11,0.34924960136413574,1.2548460960388184
3,128,0.01,0.7,128,adam,relu,,0.12249816637461282,12,0.8252971172332764,1.571905255317688
3,128,0.01,0.7,128,adam,relu,l2,0.12477354707886065,12,0.7996116876602173,1.5947680473327637
3,128,0.01,0.7,128,adam,tanh,,0.1315638400243716,12,0.777517557144165,1.5491763353347778
3,128,0.01,0.7,128,adam,tanh,l2,0.14074936427368842,12,0.7757906317710876,1.5161391496658325
3,128,0.01,0.7,256,adam,relu,,0.14133220471513688,9,0.7449522614479065,1.4640100002288818
3,128,0.01,0.7,256,adam,relu,l2,0.13568792828608536,9,0.7651230096817017,1.514196753501892
3,128,0.01,0.7,256,adam,tanh,,0.14698969417902166,9,0.7491548657417297,1.4386876821517944
3,128,0.01,0.7,256,adam,tanh,l2,0.157188889558228,9,0.7106126546859741,1.3826863765716553
3,256,0.001,0.3,128,adam,relu,,0.04856998210706008,17,1.211018681526184,1.772208571434021
3,256,0.001,0.3,128,adam,relu,l2,0.05761249464989395,16,1.1097303628921509,1.7285215854644775
3,256,0.001,0.3,128,adam,tanh,,0.049573139555189424,14,1.2416638135910034,1.7576614618301392
3,256,0.001,0.3,128,adam,tanh,l2,0.05735765903537426,15,1.1586675643920898,1.7343220710754395
3,256,0.001,0.3,256,adam,relu,,0.053743954047380624,13,1.1488734483718872,1.7143031358718872
3,256,0.001,0.3,256,adam,relu,l2,0.05669215930790472,14,1.1160279512405396,1.7286696434020996
3,256,0.001,0.3,256,adam,tanh,,0.05867498760462569,15,1.0800464153289795,1.718984842300415
3,256,0.001,0.3,256,adam,tanh,l2,0.05181679162826795,14,1.1848762035369873,1.7433909177780151
3,256,0.001,0.5,128,adam,relu,,0.051069065137314455,15,1.2478269338607788,1.7628345489501953
3,256,0.001,0.5,128,adam,relu,l2,0.05560417452977355,17,1.1625313758850098,1.7564525604248047
3,256,0.001,0.5,128,adam,tanh,,0.05600104916691282,19,1.0720254182815552,1.7576111555099487
